Complex ID;Source_doi;Charge;Shift;Dipole_point_q;q;Brutto;Charge_class;Geometry;Ligand;Smiles;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
1;https://doi.org/10.1002/ejic.201600573;-2000;-1630;16.71301257;91.0;[PtCl4]2-;anion;sq-pl;hal;Cl[Pt@SP1](Cl)(Cl)Cl;569.0346601;569.0346601;569.0294975;569.0294961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;https://doi.org/10.1002/ejic.201600573;-2000;-1842;770.7583657;56.0;[PtCl3Br]2-;anion;sq-pl;hal;Cl[Pt@SP1](Cl)(Cl)Br;1115.450553;565.4651458;565.4651283;567.4311798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;https://doi.org/10.1002/ejic.201600573;0;-2090;0.254179799;26.0;trans-[PtCl2Br2];neutral;sq-pl;hal;Br[Pt@SP1](Cl)(Br)Cl;1106.278839;1106.278835;562.2614106;562.2614053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;https://doi.org/10.1002/ejic.201600573;0;-2103;1003.165338;18.0;cis-[PtCl2Br2];neutral;sq-pl;hal;Cl[Pt@SP1](Cl)(Br)[Br];1111.684443;1111.684381;563.5778996;563.5778558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;https://doi.org/10.1002/ejic.201600573;-2000;-2346;1414.192862;-6.0;[PtCl3I]2-;anion;sq-pl;hal;Cl[Pt@SP1](Cl)(Cl)I;1568.940212;564.3829447;564.3813476;571.1908121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;https://doi.org/10.1002/ejic.201600573;-2000;-2377;657.924086;-17.0;[PtClBr3]2-;anion;sq-pl;hal;Cl[Pt@SP1](Br)(Br)Br;1108.635533;1101.598619;1101.598604;560.4605272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;https://doi.org/10.1002/ejic.201600573;-2000;-2690;0.007541703;-55.0;[PtBr4]2-;anion;sq-pl;hal;Br[Pt@SP1](Br)(Br)Br;1098.239948;1098.239943;1098.239942;1098.23994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;https://doi.org/10.1002/ejic.201600573;-2000;-3103;1665.137007;-112.0;cis-[PtCl2I2]2-;anion;sq-pl;hal;Cl[Pt@SP1](Cl)(I)I;1559.54746;1559.48375;566.3475338;566.348305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;https://doi.org/10.1002/ejic.201600573;-2000;-3260;576.5131313;-119.0;[PtBr3I]2-;anion;sq-pl;hal;Br[Pt@SP1](Br)(Br)I;1548.310399;1095.039112;1095.038439;1102.948169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;https://doi.org/10.1002/ejic.201600573;-2000;-3977;0.216704546;-184.0;trans-[PtBr2I2]2-;anion;sq-pl;hal;I[Pt@SP1](Br)(I)Br;1552.77304;1552.771589;1091.467676;1091.467674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;https://doi.org/10.1002/ejic.201600573;-2000;-3985;742.5487469;-184.0;cis-[PtBr2I2]2-;anion;sq-pl;hal;Br[Pt@SP1](Br)(I)I;1543.607239;1543.576794;1099.61478;1099.614093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;https://doi.org/10.1002/ejic.201600573;-2000;-4213;1014.32237;-208.0;[PtClI3]2-;anion;sq-pl;hal;Cl[Pt@SP1](I)(I)I;1549.868254;1551.515436;1551.514964;561.0798384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;https://doi.org/10.1002/ejic.201600573;-2000;-4667;486.3400451;-243.0;[PtBrI3]2-;anion;sq-pl;hal;Br[Pt@SP1](I)(I)I;1536.477604;1543.71;1543.707388;1090.254829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;https://doi.org/10.1002/ejic.201600573;-2000;-5475;0.009531342;-304.0;[PtI4]2-;anion;sq-pl;hal;I[Pt@SP1](I)(I)I;1535.628131;1535.635989;1535.617965;1535.597743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;https://doi.org/10.1002/ejic.201600573;0;-2169;679.3044769;-23.0;[PtCl2(η2 -CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(Cl))=C(C=CC4=CC=C3C=C1)C;566.6272192;566.606305;238.554158;238.5248551;223.6056288;223.6050989;150.260254;150.2547421;145.5474848;145.5299405;140.9467589;140.9279418;104.3032909;104.299683;102.9876443;102.9795097;92.59503838;92.59015286;84.77246907;84.77152138;28.84781995;28.84784584;28.84772517;28.84767271;25.29666945;25.29370101;25.28286255;25.27903263;17.71209437;17.71031247;14.5416466;14.54056531;12.71517082;12.71462162;11.95680258;11.95662795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;https://doi.org/10.1002/ejic.201600573;0;-2456;674.2025214;-54.0;[PtBrCl(η2 -CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(Br))=C(C=CC4=CC=C3C=C1)C;1107.211131;566.9791423;238.2040192;238.1806197;223.4891797;223.488726;150.4498508;150.4456982;145.3352179;145.3215036;140.2629511;140.2476695;104.4681544;104.4655454;103.0004058;102.994305;92.69640281;92.6928145;84.91897802;84.91831647;28.73594976;28.73580915;28.8521608;28.85203578;24.83143026;24.82924525;25.34189772;25.33851674;17.6466408;17.64518147;14.54129948;14.54049766;12.72963257;12.72923677;11.9763231;11.97620187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;https://doi.org/10.1002/ejic.201600573;0;-2886;666.8159418;-99.0;[PtBr2(η2 -CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Br)([CH2][CH2]5)(Br))=C(C=CC4=CC=C3C=C1)C;1094.842159;1094.762334;262.6634206;216.9162182;220.317793;220.0231416;159.3883159;155.1715108;153.8428037;146.5513812;132.3161374;125.6285334;107.5072215;109.3466591;101.8847511;96.56021689;96.78671732;88.98126338;85.73760047;84.26277348;28.86200181;28.86199874;28.63995149;28.63466668;27.30832248;27.26509784;22.37904031;22.28286827;18.89690842;16.21526421;15.37389526;13.7095253;13.16139286;12.31172102;12.12769782;11.85496764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;https://doi.org/10.1002/ejic.201600573;0;-3087;694.328048;-127.0;[PtClI(η2 -CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Cl)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C;1565.549228;570.0315021;237.8796671;237.8314434;223.2496801;223.2478085;150.2854331;150.276015;145.1391106;145.108629;139.9469408;139.9122947;104.3699404;104.3635901;102.8804812;102.8659512;92.60108862;92.5922927;84.8417534;84.84008818;28.64201942;28.64138915;28.83561204;28.83502415;26.60141805;26.58720038;23.51779854;23.49290475;17.67679086;17.6751779;14.5274064;14.52548787;12.71839953;12.71740582;11.96717713;11.96686938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;https://doi.org/10.1002/ejic.201600573;0;-3426;672.1036297;-170.0;[PtBrI(η2 -CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(Br)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C;1552.911409;1093.962163;264.8585489;215.9254687;219.7090542;219.2948716;160.3861457;155.8531855;154.3474262;146.6315112;131.5794936;124.5694155;107.8895316;109.8270734;101.8928076;96.91572771;96.46407854;88.84792316;85.91478012;84.34276385;28.71272416;28.46786027;28.90046574;28.70043658;26.83711591;27.78823967;22.41160295;21.80114036;18.94547957;16.11153577;15.43174289;13.66297681;13.20137366;12.297818;12.15312527;11.86235373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;https://doi.org/10.1002/ejic.201600573;0;-4041;695.8492842;-243.0;[PtI2(η2-CH2=CH2)(Me2phen)];neutral;sq-pl;hal-org;CC1=[N+]2C3=C4[N+]([Pt@OH1]25(I)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C;1551.48776;1551.42119;266.401541;215.2971853;219.2252684;218.6451992;161.0670034;156.2848197;154.6623432;146.6677013;131.104491;123.9237606;108.1301061;110.1493444;101.8844111;97.14733519;96.24961544;88.75053237;86.02057184;84.38460111;28.7471808;28.74288753;28.51838113;28.51539958;27.39741929;27.21505013;21.97456807;21.96246486;18.96755529;16.04281196;15.47069887;13.6323628;13.22729923;12.28730945;12.16850629;11.86578913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;https://doi.org/10.1002/ejic.201600573;-2000;7090;0.00025442;944.0;[PtF6] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([F])([F])[F];353.4143146;353.4142543;353.4141213;353.4141208;353.4141083;353.4140928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;https://doi.org/10.1002/ejic.201600573;-2000;5856;110.9324823;886.0;[PtClF5] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([F])([F])[Cl];565.8573963;354.324662;354.3246459;354.3246357;354.3246433;351.124513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;https://doi.org/10.1002/ejic.201600573;-2000;5669;797.3248028;854.0;[PtBrF5] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([F])([F])[Br];1099.03748;354.1284613;354.1284677;354.1284795;354.1284852;351.066779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;https://doi.org/10.1002/ejic.201600573;-2000;4887;0.000159121;813.0;trans-[PtCl2F4] 2-;anion;oct;hal;[Pt@OH1]([Cl])([F])([F])([F])([F])[Cl];563.659447;563.659447;354.7726641;354.77266;354.7725464;354.7725445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;https://doi.org/10.1002/ejic.201600573;-2000;4551;3.48e-05;751.0;trans-[PtBr2F4] 2-;anion;oct;hal;[Pt@OH1]([Br])([F])([F])([F])([F])[Br];1086.031219;1086.031217;354.4318954;354.4318951;354.4318852;354.4318844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;https://doi.org/10.1002/ejic.201600573;-2000;4547;138.3439684;818.0;cis-[PtCl2F4] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([F])([F])([F])[F];564.4867235;564.4867176;355.138012;355.1380043;351.3381712;351.3381306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;https://doi.org/10.1002/ejic.201600573;-2000;4136;933.4378038;747.0;cis-[PtBr2F4] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([F])([Br])[Br];1091.838535;1091.837692;354.6379204;354.6379106;350.6937728;350.6937257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;https://doi.org/10.1002/ejic.201600573;-2000;3551;78.23061264;739.0;mer-[PtCl3F3] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([Cl])([Cl])([Cl])[F];562.9084328;562.3013145;562.3011353;355.4963457;355.4963459;351.2824377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;https://doi.org/10.1002/ejic.201600573;-2000;3191;154.0980433;744.0;fac-[PtCl3F3] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([Cl])([Cl])[Cl];564.0184255;564.0180678;564.0180219;351.5170093;351.516774;351.5167948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;https://doi.org/10.1002/ejic.201600573;-2000;2907;549.1343081;634.0;mer-[PtBr3F3] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([Br])([Br])([Br])[F];1085.115358;1080.829455;1080.830988;354.677758;354.6777661;350.1489474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;https://doi.org/10.1002/ejic.201600573;-2000;2534;9.76e-05;658.0;trans-[PtCl4F2] 2-;anion;oct;hal;[Pt@OH1]([F])([Cl])([Cl])([Cl])([Cl])[F];560.7704984;560.7704967;560.7704512;560.7704514;355.7925692;355.7925639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;https://doi.org/10.1002/ejic.201600573;-2000;2487;962.5169532;632.0;fac-[PtBr3F3] 2-;anion;oct;hal;[Pt@OH1]([F])([F])([F])([Br])([Br])[Br];1086.679589;1086.67887;1086.679028;350.3969926;350.3970254;350.3969947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;https://doi.org/10.1002/ejic.201600573;-2000;2171;101.3629248;662.0;cis-[PtCl4F2] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([F])[F];563.0644989;563.0644919;561.5307706;561.5301637;351.4569728;351.4569683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;https://doi.org/10.1002/ejic.201600573;-2000;1157;6.09e-05;513.0;trans-[PtBr4F2] 2-;anion;oct;hal;[Pt@OH1]([F])([Br])([Br])([Br])([Br])[F];1075.523178;1075.523165;1075.522303;1075.522306;354.4742405;354.4742113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;https://doi.org/10.1002/ejic.201600573;-2000;1142;659.6543214;513.0;cis-[PtBr4F2] 2-;anion;oct;hal;[Pt@OH1]([F])([Br])([Br])([Br])([F])[Br];1080.853818;1080.854107;1077.004163;1077.001552;349.9079199;349.9079149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;https://doi.org/10.1002/ejic.201600573;-2000;1111;57.07163677;579.0;[PtCl5F]2-;anion;oct;hal;[Pt@OH1]([F])([Cl])([Cl])([Cl])([Cl])[Cl];562.5325253;560.4599024;560.4593583;560.4592453;560.4585782;351.4164024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;https://doi.org/10.1002/ejic.201600573;-2000;0;0.001333351;496.0;[PtCl6] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl];559.7806737;559.7806414;559.7796998;559.779701;559.7716715;559.7716281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;https://doi.org/10.1002/ejic.201600573;-2000;-286;687.873655;463.0;[PtCl5Br]2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Br];1089.911803;557.5561157;557.5560849;557.5560664;557.5560335;559.2874029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;https://doi.org/10.1002/ejic.201600573;-2000;-311;387.3071615;391.0;[PtBr5F]2-;anion;oct;hal;[Pt@OH1]([Br])([F])([Br])([Br])([Br])[Br];1075.266232;1072.436131;1072.436035;1072.435024;1072.433444;349.4725002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;https://doi.org/10.1002/ejic.201600573;-2000;-583;929.547763;426.0;cis-[PtCl4Br2] 2-;anion;oct;hal;[Pt@OH1]([Br])([Br])([Cl])([Cl])([Cl])[Cl];1089.091489;1089.091379;554.9493881;554.9493884;556.6307037;556.6306691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;https://doi.org/10.1002/ejic.201600573;-2000;-585;0.000367865;428.0;trans-[PtCl4Br2] 2-;anion;oct;hal;[Pt@OH1]([Br])([Cl])([Cl])([Cl])([Cl])[Br];1081.150417;1081.149195;555.5477147;555.5477257;555.5477052;555.5477013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;https://doi.org/10.1002/ejic.201600573;-2000;-854;1295.710963;401.0;[PtCl5I]2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[I];1546.878328;556.620129;556.6201312;556.6201325;556.6201345;562.0699715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;https://doi.org/10.1002/ejic.201600573;-2000;-892;1071.320988;388.0;fac-[PtCl3Br3] 2-;anion;oct;hal;[Pt@OH1]([Cl])([Cl])([Cl])([Br])([Br])[Br];1085.746964;1085.746952;1085.746849;553.7953685;553.7953474;553.7953444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
